stock,date,position_type,quantity,price,order_type,stop_loss,take_profit,trailing_stop,duration
AAPL,2022-08-10,long,2,167.58,Market Order,159.2,175.96,0.02,Day
AAPL,2022-09-19,long,3,152.96,Market Order,145.31,160.61,0.02,Day
AAPL,2023-01-10,long,1,129.66,Market Order,123.18,136.14,0.02,Day
AAPL,2023-02-07,long,9,153.39,Market Order,145.72,161.06,0.02,Day
AAPL,2023-04-04,long,6,164.53,Market Order,156.3,172.76,0.02,Day
AAPL,2023-04-05,long,8,162.67,Market Order,154.54,170.8,0.02,Day
AAPL,2023-05-08,long,1,172.35,Market Order,163.73,180.97,0.02,Day
AAPL,2023-06-15,long,8,185.03,Market Order,175.78,194.28,0.02,Day
AAPL,2023-07-31,short,3,195.41,Market Order,205.18,185.64,0.02,Day
AAPL,2023-08-16,short,2,175.87,Market Order,184.66,167.08,0.02,Day
AAPL,2023-11-16,short,6,189.21,Market Order,198.67,179.75,0.02,Day
AAPL,2023-12-08,short,4,195.2,Market Order,204.96,185.44,0.02,Day
AAPL,2024-04-04,long,9,168.59,Market Order,160.16,177.02,0.02,Day
AAPL,2024-05-01,long,8,169.07,Market Order,160.62,177.52,0.02,Day
